DATE_TIME,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
2020-05-15,27.265600469700104,32.222448208421106,0.19830218599940283
2020-05-16,26.372981580597514,30.91316211216424,0.19428843939648624
2020-05-17,26.686726958971978,32.74043509285095,0.238868522489879
2020-05-18,23.85093750987103,27.814343825347212,0.15902588630644313
2020-05-19,25.448182789074895,30.1994234499814,0.20393165339305594
2020-05-20,25.9668758290359,31.786408250626796,0.27660988450742124
2020-05-21,26.462980444719502,33.71741429045365,0.2923928649009296
2020-05-22,26.5267029640377,32.478885037847206,0.23040752609618076
2020-05-23,26.584184934908222,33.99737288156003,0.27312773226733467
2020-05-24,27.62511626314483,33.97854439945437,0.25976229410688295
2020-05-25,27.21015704775642,34.53396266921167,0.283680891509631
2020-05-26,26.904454978670625,33.47315381498016,0.2526102997961029
2020-05-27,26.835469128621025,32.420287543320114,0.21393298177893413
2020-05-28,26.766278065418955,33.50317441272322,0.27117066715376364
2020-05-29,25.406626769114396,33.4143431901967,0.2619096988797078
2020-05-30,24.99122322852182,30.81601228725199,0.22786514758835433
2020-05-31,25.472599566071437,30.1607127749008,0.18359852197076534
2020-06-01,24.77951443843864,28.961083133146374,0.1838462953921676
2020-06-02,24.374919994841274,29.448150874603183,0.22378801433646392
2020-06-03,24.83021836941964,30.19213763888889,0.23535088937593396
2020-06-04,25.286175785317457,31.221624634672622,0.2569893170361781
2020-06-05,24.87062225967262,30.582564656746026,0.2415901998942733
2020-06-06,24.247354627033733,28.802772219047625,0.20340497899476784
2020-06-07,25.016089811061516,31.497892237996023,0.2541913838844409
2020-06-08,25.441268369455887,31.62192260695207,0.26370340329042086
2020-06-09,25.545735575347223,31.515744149751985,0.2578611804208819
2020-06-10,24.752468028323417,29.20254229970239,0.20033637486222608
2020-06-11,24.40341033864087,27.880257155753963,0.1618094337846306
2020-06-12,24.07237888938492,27.58583375932541,0.16980782353663193
2020-06-13,24.56672889072421,30.48102565704367,0.2644724434009737
2020-06-14,24.412891402827373,29.42170748382937,0.22008563877067858
2020-06-15,24.827413599355168,29.92781672757936,0.20592505947293635
2020-06-16,24.92892941944444,29.55556713695438,0.18728255711326158
2020-06-17,24.229728343120765,28.374542613884728,0.17696367262743626
